index,Year,State,GDP (Chained $)
2943,2012-01-01,Idaho,103551000.0
2944,2012-01-01,Idaho,2517445000.0
2945,2012-01-01,Idaho,162732000.0
2946,2012-01-01,Idaho,298804000.0
2947,2012-01-01,Idaho,1307448000.0
2948,2012-01-01,Idaho,1141260000.0
2949,2012-01-01,Idaho,146701000.0
2950,2012-01-01,Idaho,1201235000.0
2951,2012-01-01,Idaho,3853793000.0
2952,2012-01-01,Idaho,321353000.0
2953,2012-01-01,Idaho,933510000.0
2954,2012-01-01,Idaho,55832000.0
2955,2012-01-01,Idaho,4354718000.0
2956,2012-01-01,Idaho,535602000.0
2957,2012-01-01,Idaho,1145264000.0
2958,2012-01-01,Idaho,42408000.0
2959,2012-01-01,Idaho,355290000.0
2960,2012-01-01,Idaho,268118000.0
2961,2012-01-01,Idaho,964551000.0
2962,2012-01-01,Idaho,283386000.0
2963,2012-01-01,Idaho,294569000.0
2964,2012-01-01,Idaho,270447000.0
2965,2012-01-01,Idaho,888292000.0
2966,2012-01-01,Idaho,433670000.0
2967,2012-01-01,Idaho,535480000.0
2968,2012-01-01,Idaho,965093000.0
2969,2012-01-01,Idaho,4419327000.0
2970,2012-01-01,Idaho,1140267000.0
2971,2012-01-01,Idaho,203296000.0
2972,2012-01-01,Idaho,158283000.0
2973,2012-01-01,Idaho,204983000.0
2974,2012-01-01,Idaho,935051000.0
2975,2012-01-01,Idaho,677957000.0
2976,2012-01-01,Idaho,1724941000.0
2977,2012-01-01,Idaho,102054000.0
2978,2012-01-01,New Jersey,4291312000.0
2979,2012-01-01,New Jersey,34795237000.0
2980,2012-01-01,New Jersey,4405544000.0
2981,2012-01-01,New Mexico,32249934000.0
2982,2012-01-01,New Mexico,81543000.0
2983,2012-01-01,New Mexico,2046156000.0
2984,2012-01-01,New Mexico,649296000.0
2985,2012-01-01,New Mexico,498845000.0
2986,2012-01-01,New Mexico,2762403000.0
2987,2012-01-01,New Mexico,75227000.0
2988,2012-01-01,New Mexico,6488474000.0
2989,2012-01-01,New Mexico,5208140000.0
2990,2012-01-01,New Mexico,1150672000.0
2991,2012-01-01,New Mexico,128208000.0
2992,2012-01-01,New Mexico,109243000.0
2993,2012-01-01,New Mexico,213600000.0
2994,2012-01-01,New Mexico,5321049000.0
2995,2012-01-01,New Mexico,598144000.0
2996,2012-01-01,New Mexico,2128533000.0
2997,2012-01-01,New Mexico,748615000.0
2998,2012-01-01,New Mexico,2595679000.0
2999,2012-01-01,New Mexico,142574000.0
3000,2012-01-01,New Mexico,2596618000.0
3001,2012-01-01,New Mexico,266399000.0
3002,2012-01-01,New Mexico,1283120000.0
3003,2012-01-01,New Mexico,628566000.0
3004,2012-01-01,New Mexico,3266900000.0
3005,2012-01-01,New Mexico,6398675000.0
3006,2012-01-01,New Mexico,660102000.0
3007,2012-01-01,New Mexico,5885637000.0
