Order Full Date Description;Order Date Key;Order Year;Order Season;Order Semester;Order Month Number Year;Order Week Number Year;Order Day Number Month;Order Day Number Week;Order Day Name Week;HolidayKey;HolidayIndicator;WeekendIndicator
41600;670;2013;Autumn;2;11;47;22;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41601;671;2013;Autumn;2;11;47;23;6;sábado;No Key;Non-Holiday;Weekend
41602;672;2013;Autumn;2;11;48;24;7;domingo;No Key;Non-Holiday;Weekend
41603;673;2013;Autumn;2;11;48;25;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41604;674;2013;Autumn;2;11;48;26;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41605;675;2013;Autumn;2;11;48;27;3;quarta-feira;34;Holiday;Non-Weekend
41606;676;2013;Autumn;2;11;48;28;4;quinta-feira;33;Holiday;Non-Weekend
41607;677;2013;Autumn;2;11;48;29;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41608;678;2013;Autumn;2;11;48;30;6;sábado;No Key;Non-Holiday;Weekend
41609;679;2013;Autumn;2;12;49;1;7;domingo;No Key;Non-Holiday;Weekend
41610;680;2013;Autumn;2;12;49;2;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41611;681;2013;Autumn;2;12;49;3;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41612;682;2013;Autumn;2;12;49;4;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41613;683;2013;Autumn;2;12;49;5;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41614;684;2013;Autumn;2;12;49;6;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41615;685;2013;Autumn;2;12;49;7;6;sábado;No Key;Non-Holiday;Weekend
41616;686;2013;Autumn;2;12;50;8;7;domingo;No Key;Non-Holiday;Weekend
41617;687;2013;Autumn;2;12;50;9;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41618;688;2013;Autumn;2;12;50;10;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41619;689;2013;Autumn;2;12;50;11;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41620;690;2013;Autumn;2;12;50;12;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41621;691;2013;Autumn;2;12;50;13;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41622;692;2013;Autumn;2;12;50;14;6;sábado;No Key;Non-Holiday;Weekend
41623;693;2013;Autumn;2;12;51;15;7;domingo;No Key;Non-Holiday;Weekend
41624;694;2013;Autumn;2;12;51;16;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41625;695;2013;Autumn;2;12;51;17;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41626;696;2013;Autumn;2;12;51;18;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41627;697;2013;Autumn;2;12;51;19;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41628;698;2013;Autumn;2;12;51;20;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41629;699;2013;Winter;2;12;51;21;6;sábado;No Key;Non-Holiday;Weekend
41630;700;2013;Winter;2;12;52;22;7;domingo;No Key;Non-Holiday;Weekend
41631;701;2013;Winter;2;12;52;23;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41632;702;2013;Winter;2;12;52;24;2;terça-feira;22;Holiday;Non-Weekend
41633;703;2013;Winter;2;12;52;25;3;quarta-feira;21;Holiday;Non-Weekend
41634;704;2013;Winter;2;12;52;26;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41635;705;2013;Winter;2;12;52;27;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41636;706;2013;Winter;2;12;52;28;6;sábado;No Key;Non-Holiday;Weekend
41637;707;2013;Winter;2;12;53;29;7;domingo;No Key;Non-Holiday;Weekend
41638;708;2013;Winter;2;12;53;30;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41639;709;2013;#N/A;2;12;53;31;2;terça-feira;32;Holiday;Non-Weekend
41640;710;2014;Winter;1;1;1;1;3;quarta-feira;50;Holiday;Non-Weekend
41641;711;2014;Winter;1;1;1;2;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41642;712;2014;Winter;1;1;1;3;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41643;713;2014;Winter;1;1;1;4;6;sábado;No Key;Non-Holiday;Weekend
41644;714;2014;Winter;1;1;2;5;7;domingo;No Key;Non-Holiday;Weekend
41645;715;2014;Winter;1;1;2;6;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41646;716;2014;Winter;1;1;2;7;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41647;717;2014;Winter;1;1;2;8;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41648;718;2014;Winter;1;1;2;9;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41649;719;2014;Winter;1;1;2;10;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41650;720;2014;Winter;1;1;2;11;6;sábado;No Key;Non-Holiday;Weekend
41651;721;2014;Winter;1;1;3;12;7;domingo;No Key;Non-Holiday;Weekend
41652;722;2014;Winter;1;1;3;13;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41653;723;2014;Winter;1;1;3;14;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41654;724;2014;Winter;1;1;3;15;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41655;725;2014;Winter;1;1;3;16;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41656;726;2014;Winter;1;1;3;17;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41657;727;2014;Winter;1;1;3;18;6;sábado;No Key;Non-Holiday;Weekend
41658;728;2014;Winter;1;1;4;19;7;domingo;No Key;Non-Holiday;Weekend
41659;729;2014;Winter;1;1;4;20;1;segunda-feira;48;Holiday;Non-Weekend
41660;730;2014;Winter;1;1;4;21;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41661;731;2014;Winter;1;1;4;22;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41662;732;2014;Winter;1;1;4;23;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41663;733;2014;Winter;1;1;4;24;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
